1 a                   un                                      

2 abacterial          abacteriano                             

3 abacus              ábaco                                   

4 abaft               a popa                                  

5 abandoned           abandonado                              

6 abandonee           abandonado                              

7 abandonment         abandono                                

8 abasement           humillación                             

9 abashed             avergonzado                             

10 abashing            vergonzoso                              

11 abatement           disminución                             

12 abattoir            matadero de reses                       

13 abaxial             extraaxial                              

14 abbe                abate                                   

15 abbess              abadesa                                 

16 abbey               abadía                                  

17 abbot               abad                                    

18 abbreviation        abreviatura                             

19 abc                 abecedario                              

20 abdication          abdicación                              

21 abdomen             abdomen                                 

22 abdominal           abdominal                               

23 abdominally         abdominalmente                          

24 abduction           abducción                               

25 abductor            raptor                                  

26 abductors           abductores                              

27 abeam               de través                               

28 abed                en cama                                 

29 aberrancy           aberración                              

30 aberrant            aberrante                               

31 aberration          aberración                              

32 abetment            complicidad                             

33 abettor             cómplice                                

34 abeyance            suspensión                              

35 abhorrence          aborrecimiento                          

36 abhorrent           detestable                              

37 abidance            acatamiento                             

38 abiding             duradero                                

39 ability             capacidad                               

40 abject              abyecto                                 

41 abjuration          renuncia                                

42 ablation            ablación                                

43 ablative            ablativo                                

44 ablaze              ardiendo                                

45 able                capaz                                   

46 able-bodied         robusto                                 

47 ablution            ablución                                

48 ably                hábilmente                              

49 abnegate            abnegado                                

50 abnegation          abnegación                              

51 abnormal            anormal                                 

52 abnormality         anormalidad                             

53 abnormally          anormalmente                            

54 aboard              a bordo                                 

55 abode               residencia                              

56 abolishment         abolición                               

57 abolition           abolición                               

58 abolitionist        abolicionista                           

59 abominable          abominable                              

60 abomination         abominación                             

61 aboriginal          aborigen                                

62 aborigine           aborigen                                

63 abortion            aborto                                  

64 abortionist         abortista                               

65 abortive            abortivo                                

66 about               acerca                                  

67 about-face          media vuelta                            

68 above               arriba                                  

69 aboveboard          abiertamente                            

70 abrasion            abrasión                                

71 abrasive            abrasivo                                

72 abreast             de frente                               

73 abridged            abreviado                               

74 abridgement         resumen                                 

75 abroad              en el extranjero                        

76 abrupt              abrupto                                 

77 abruptly            abruptamente                            

78 abruptness          aspereza                                

79 abscess             abceso                                  

80 absence             ausencia                                

81 absent              ausente                                 

82 absent-minded       distraído                               

83 absentee            ausente                                 

84 absentminded        distraído                               

85 absolute            absoluto                                

86 absolutely          absolutamente                           

87 absoluteness        absolutismo                             

88 absolution          absolución                              

89 absolutism          absolutismo                             

90 absorbed            absorbido                               

91 absorbent           absorbente                              

92 absorber            absorbente                              

93 absorbing           absorbente                              

94 absorption          absorción                               

95 abstainer           abstemio                                

96 abstemious          abstemio                                

97 abstention          abstención                              

98 abstinence          abstinencia                             

99 abstinent           abstinente                              

100 abstract            abstracto                               

101 abstracted          abstraído                               

102 abstraction         abstracción                             

103 abstruse            abstruso                                

104 absurd              absurdo                                 

105 absurdity           absurdo                                 

106 absurdly            absurdamente                            

107 abundance           abundancia                              

108 abundant            abundante                               

109 abundantly          abundantemente                          

110 abuse               abuso                                   

111 abusive             abusivo                                 

112 abusively           abusivamente                            

113 abutment            estribo                                 

114 abysmal             abismal                                 

115 abyss               abismo                                  

116 academic            académico                               

117 academically        académicamente                          

118 academician         académico                               

119 academy             academia                                

120 accelerated         acelerado                               

121 acceleration        aceleración                             

122 accelerator         acelerador                              

